MsgID.LOCAL_VELOCITY,1494.7640000,0.0142826,-0.0089464,0.7617021
MsgID.GLOBAL_POSITION,0.0000000,-122.3957449,37.7932852,3.4730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,1.6000000
MsgID.LOCAL_POSITION,1495.0140000,-0.0158717,-0.0591140,-3.4734342
MsgID.LOCAL_VELOCITY,1495.0140000,0.0009435,-0.0020918,1.6069211
MsgID.GLOBAL_POSITION,0.0000000,-122.3957438,37.7932849,3.0470000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,1.6900000
MsgID.LOCAL_POSITION,1495.2640000,-0.0500137,0.0426174,-3.0472105
MsgID.LOCAL_VELOCITY,1495.2640000,-0.0083576,0.0117308,1.6902817
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957443,37.7932853,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957441,37.7932845,2.8940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,0.0200000
MsgID.LOCAL_POSITION,1495.5150000,-0.0936564,0.0164472,-2.8945982
MsgID.LOCAL_VELOCITY,1495.5150000,0.0036049,0.0147966,0.0218148
MsgID.GLOBAL_POSITION,0.0000000,-122.3957436,37.7932849,2.9530000
MsgID.LOCAL_VELOCITY,0.0000000,0.2500000,0.0100000,0.2300000
MsgID.LOCAL_POSITION,1495.7650000,-0.0513072,0.0580049,-2.9532216
MsgID.LOCAL_VELOCITY,1495.7650000,0.2532419,0.0134579,0.2394417
MsgID.GLOBAL_POSITION,0.0000000,-122.3957436,37.7932870,2.9040000
MsgID.LOCAL_VELOCITY,0.0000000,1.5100000,0.0000000,0.2800000
MsgID.LOCAL_POSITION,1496.0160000,0.1905066,0.0572081,-2.9049580
MsgID.LOCAL_VELOCITY,1496.0160000,1.5114888,0.0055052,0.2825705
MsgID.GLOBAL_POSITION,0.0000000,-122.3957436,37.7932918,2.8820000
MsgID.LOCAL_VELOCITY,0.0000000,3.0100000,0.0000000,0.0200000
MsgID.LOCAL_POSITION,1496.2660000,0.7217221,0.0572391,-2.8821714
MsgID.LOCAL_VELOCITY,1496.2660000,3.0104423,-0.0046234,0.0232933
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957443,37.7932853,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957436,37.7932984,2.8880000
MsgID.LOCAL_VELOCITY,0.0000000,4.0600000,-0.0100000,-0.0200000
MsgID.LOCAL_POSITION,1496.5160000,1.4536957,0.0571563,-2.8883247
MsgID.LOCAL_VELOCITY,1496.5160000,4.0625110,-0.0127886,-0.0225188
MsgID.GLOBAL_POSITION,0.0000000,-122.3957434,37.7933118,2.8760000
MsgID.LOCAL_VELOCITY,0.0000000,5.1900000,-0.0200000,-0.0300000
